question,contexts,answer,predicted_answer,doc_mrr_evaluator,faithfulness,sas_evaluator,precision,recall,f1
What is the estimated total savings for a PV system in Durham under the net metering (flat rate) billing option over the system's useful life of 25 years?,"[Document(id=2dad2590a94f3fba586ae4fb328d0c2da9aa79d01ee312f34f79500933a64c49, content: 'A Residential Customer Guide to Going Solar - RO1-010

The savings shown in Tables 2 and 3 were calc...')]","['$10,614']","10624 (in dollars)
    ",1.0,0.0,0.6346465349197388,tensor(0.8184),tensor(0.7899),tensor(0.8039)
What is the address of Ramba Consulting Group?,"[Document(id=8034be35e049617f76eea4623a97333a40f5c8255e1d1a76732f257ac9c6dd0e, content: '10/10/2019

Ramba Consulting Group LLC - Firm Detail - Lobbyist Registration

Motorola Solutions, In...')]",['120 S Monroe St Tallahassee FL 32301'],"10, Lakewood Rch FL 34249-8***,  56 North College Blvd E Niceville***
    ",1.0,0.0,0.6456335783004761,tensor(0.8096),tensor(0.8287),tensor(0.8190)
What is the average annual growth rate of regional load across the Western Interconnection from 2020 to 2026?,"[Document(id=a648b7309f83c351dbbd305d7495b6f442d84afc1eac9dd31bd8a5dcde477c8d, content: 'Western Interconnection BPS Dynamics

woodmac.com

Load growth will increase power generation needs ...')]",['0.6% per year'],"0.6% per year
    ",1.0,0.0,0.8650546669960022,tensor(0.9741),tensor(0.9352),tensor(0.9543)
What is different about PG&E's pipeline constraints and operating conditions compared to Southern California Gas Company?,"[Document(id=9547d652084858f10b5681a9b81137f1662fd75fc6c14451b280bb84e3668a29, content: 'wi

SHOULD OFO RULES BE CONSISTENT STATEWIDE?

> Current PG&E’s OFO rules appear to be working effec...')]","[""PG&E's physical pipeline constraints and operating conditions are different than SCG""]", PG&E's physical pipeline constraints and operating conditions are different than SCG.,1.0,0.0,0.9462229013442993,tensor(0.9558),tensor(0.9418),tensor(0.9488)
What are some companies and their locations listed on the page?,"[Document(id=521d7ee0145a40086624fe3046b0b39418418808bafb3a1d6a7783197a665196, content: '10/10/2019

The Mayernick Group LLC - Firm Detail - Lobbyist Registration
United States Sugar Corpor...')]","['United States Sugar Corporation, 111 Ponce De Leon Ave, Clewiston FL 33440', 'Walmart, 702 SW 8th St, Bentonville AR 72716', 'Wal-Mart Stores, Inc, 702 SW 8th St. MW 215, Bentonville AR 72716-6209', 'Water & Soil Solutions, LLC, 16112 E Duran Rd, Loxahatchee FL 33470-7890', 'Watershed Technologies, LLC, 3208 Westchester Dr, Cocoa FL 32926']","1) The Mayernick Group LLC, 3716 Apalachee; Diverse Computing Inc., [address redacted]; Eldorado Resorts Florida Alcohol & Drug Abuse Association FL for Care ... etc.
      20th St Suite Tallahassee: not listed directly but found in context within the addresses given above ([850] 941-3673) [not part of initial question so excluded].",0.0,0.6666666666666666,0.43593254685401917,tensor(0.7952),tensor(0.7939),tensor(0.7946)
What is the average OPEC spare production capacity for the years 2014-2023?,"[Document(id=3d8816376d8f6532aee22681f3ecbf08887497510c688a5ea2daf66a14326949, content: 'Global Oil Markets

Global oil prices and inventories

The spot price of Brent crude oil averaged $9...')]",['2.8 million barrels per day'],2.8 million barrels per day (b/d),1.0,0.0,0.8411802053451538,tensor(0.9110),tensor(0.9221),tensor(0.9165)
How did the average miles per shipment for single modes change from 1997 to 2007?,"[Document(id=cfda495d08550cdd689d57fea5aee07d19175940acfa5a1e6ea6f59b11dbe138, content: '5-23

Industries covered by the 2007 Commodity Flow Survey (CFS) accounted for 3.3 trillion ton-mile...')]","['For truck, it increased from 144 to 206 miles, for rail it increased from 485 to 599 miles.']","2.7%
     ",1.0,0.0,0.18253189325332642,tensor(0.8619),tensor(0.7916),tensor(0.8252)
What are the specific topics mentioned related to the national energy policy options?,"[Document(id=a318cf875cc58461d7f29f8c648a805f3a5971b119cec2ddb0f93412f32845af, content: 'DION mail

el) Beschen/OU=EE/O=DOEG@DOE>---<Last BTS NEP Option Paper cane e ee nee nee Message body...')]","['volume purchasing', 'weatherization']","1) Existing nuclear power plants, 2) Expansion of existing and new reactors (particularly on newer sites), Fukushima safety concerns for U.S., Japanese reactor designs in the United States reviewed by Nuclear Regulatory Commission after a call from Obama to review all US Reactosrs's Safety , Public opinion impacted 1) cost, environmental consequences Japan & other countries and government support of nuclear energy as clean power option  2 ) future progress rate for U.S., lower natural gas prices hindering USS utilities interest in new plants while loan guarantees may be insufficient",0.0,1.0,0.18842510879039764,tensor(0.7728),tensor(0.7978),tensor(0.7851)
What types of highway improvements are listed for US 150 in Champaign County?,"[Document(id=eb5c2f85448a351bd79a8ebc646c20da1d460d09e84580d1edc03bacc4a3fdf1, content: 'FY 2024-2029 Rebuild Illinois Highway Improvement Program

District 5

State Highways
Route / Street...')]","['DESIGNED OVERLAY', 'ADA IMPROVEMENTS', 'BRIDGE DECK OVERLAY', 'BRIDGE REPAIR', 'STANDARD OVERLAY', 'WIDENING EXISTING PAVEMENT', 'INTERSECTION IMPROVEMENT', 'TRAF SIGNAL MODERNIZATION', 'UTILITY ADJUSTMENT']","1) Overlay, 2.36 miles ADA improvements in Mansfield and Piatt counties
               - Bridge deck overlay for Washington St from W of Turkey Farm Rd to S Division Str ($5m).   (8-year MYP cycle: FY's '09 & '14) .    , 2. bridge repair on Mahomet at N&WRR in Mansfield and Piatt counties
               - Standard overlay for US Hwy, Springfld Ave change from ILL to IL Rte-76 ($8m).     (5yr MYP",1.0,1.0,0.49255800247192383,tensor(0.7319),tensor(0.7810),tensor(0.7557)
What fuel type had the highest average hourly generation in 2019 according to the chart?,"[Document(id=8c05d858e7d1f0264b5f15968d1ebbaa8361340c2f43b30c33ada08a49566945, content: '2019 Average Hourly Generation by Fuel Type

35,000 |Nuclear Bio Geothermal “Solar Wind mHydro mNatu...')]",['Natural Gas'],"35,00 (Nuclear)
    ",1.0,0.0,0.2288013994693756,tensor(0.8350),tensor(0.8230),tensor(0.8289)
