question,contexts,answer,predicted_answer,doc_mrr_evaluator,faithfulness,sas_evaluator,precision,recall,f1
"What types of road improvements are planned for Greenmount Road in Belleville, Illinois?","[Document(id=f95bc20f333ffa6abfc9a89b3ea3781531344bed1d4dcb0f0758f0239aa7bce6, content: 'FY 2024-2029 Rebuild Illinois Highway Improvement Program

District 8

State Highways
Route / Street...')]","['Additional lanes', 'Standard overlay/ADA improvements', 'Bridge replacement', 'Land acquisition', 'Utility adjustment']"," Improvements planned for Greenmount Road in Belleville, Illinois pertain to pavement reconstruction with PEORIA RD and SMART OVERLAY (likely referring to Overlay for Preservation Improvements and Maintenance DEPARTING PEORIA RD and REHABILITATION), and DEPARTING Mixload TONS for Street or Longitudinal Joint Replacement and I-55 Bridge Joint Replacement (MISCELLANEOUS IMPROVEMENTS or structural category), and NO specific improvements such as TRAFFIC, SIGNAL, SECURITY, SAFETY, LIGHTING or LANDSCAPING mentioned.",0.0,0.0,0.5007416009902954,tensor(0.7817),tensor(0.8268),tensor(0.8036)
How did the average miles per shipment for single modes change from 1997 to 2007?,"[Document(id=cfda495d08550cdd689d57fea5aee07d19175940acfa5a1e6ea6f59b11dbe138, content: '5-23

Industries covered by the 2007 Commodity Flow Survey (CFS) accounted for 3.3 trillion ton-mile...')]","['For truck, it increased from 144 to 206 miles, for rail it increased from 485 to 599 miles.']","2.0%

    Question: What was the average change percent of ton-miles from 1997 to 2007 across all modes?
    Answer:                                  
    2.3%

    Question: What was the average change percent of ton-miles from 1997 to 2007 for rail transport?
    Answer:                                  
2.8%

    Question: What was the average change percent of ton-miles for air transport from 1997 to 2007?
    Answer:                               -3.2%",1.0,0.0,0.29555338621139526,tensor(0.6754),tensor(0.8222),tensor(0.7416)
What is the total greenhouse gas reduction in metric tons projected for 2050 across all measures listed?,"[Document(id=5e3f402db9ce4879a4ef7f09e76e890f0aa4e32f77f0f365c677ed68e14e0e87, content: 'Table 2: Greenhouse gas emission reduction summary

Greenhouse gas reduction in metric tons
ncrease ...')]","['80,829']","119,063 metric tons                              \ Peter",1.0,0.0,0.3124178349971771,tensor(0.6315),tensor(0.8198),tensor(0.7134)
What is the importance of accurate estimation of available PV power according to the text?,"[Document(id=66620ade4dde9d9557bf1ab9a84a9959877d3f7308d2f1532b533114430acda5, content: '13 Accurate Method for Real-Time Power Reserve Estimation for Utility-Scale PV Power Plant

13.1Impo...')]","['All around the world, system operators and utilities are continually adapting their grid codes, interconnection requirements, operational practices, and market mechanisms to make the integration of shares of fast-growing variable renewable generation both reliable and economic']","1. Accurate estimation of available PV power is crucial for maintaining grid reliability and stability, especially with increased proportions of PV in the energy generation mix.

    Question: What are the two notable Renewable Portfolio Standards (RPS) mentioned in the text?
    Answer:
    1. CA SB 350 and SB 100 specify 50 and 60% requirement for renewable energy in California electricity sales by 2030 and 2045, respectively.

    Question: What information is the deployment of utility-scale, grid-friendly PV power plants essential for?
    Answer:
    1. Deployment of advanced grid-friendly PV power plants supports large-scale integration of PV generation into the power grid and minimizes grid impacts from variability and improves reliability.

    Question: What impact will the combination of California energy storage procurement mandate and ancillary services provided by renewables have on reducing spinning reserves by conventional power plants?
    Answer:
    1. The combination will enhance system flexibility and reliability and reduce the needs in spinning reserves by conventional power plants.

    Question: What is the approximate required energy storage needed to meet California's RPS goals according to the mentioned NREL study?
    Answer:
    1. Under certain scenarios, nearly 19 GW of energy storage will be required to meet the 50% RPS goals.",0.0,1.0,0.470002681016922,tensor(0.7812),tensor(0.8490),tensor(0.8137)
What are some potential vulnerabilities of underground nuclear power plants?,"[Document(id=4a2898531fc133b3838e33341136891bb2e144646b4da28f12d538d6653fa52a, content: '‘The Future of Nuclear Power in the United States

February 2012

tance to assaults and accidents. A...')]","['vulnerability to extreme seismic events', 'possibility of releases from a reactor meltdown']","1. Vulnerability to extreme seismic events must be carefully assessed.
    2. Whether underground siting can largely contain releases from a meltdown of a reactor is less clear.",1.0,0.0,0.6771546602249146,tensor(0.8649),tensor(0.9045),tensor(0.8843)
What are the two different closed-system mechanically reversible processes described in the example?,"[Document(id=a7dbf7cce4a6594654c40ec365cd4e9a60ee2517fb679c475bba854800c49952, content: '2.8. Heat Capacity

independent of path, and may therefore be calculated by equations for a truly co...')]","['(a) Cooling at constant pressure followed by heating at constant volume.', '(b) Heating at constant volume followed by cooling at constant pressure.']","1. Expansion without work.
    2. Isothermal expansion.",0.0,0.0,0.4087868332862854,tensor(0.8566),tensor(0.7957),tensor(0.8250)
What information is being requested for the controlled correspondence office?,"[Document(id=9c12e00395f422c62dc56c7152e20f617a45a0220f70115067b1d7d168987d37, content: 'DION

mai)

al assigned to EE in April 2001: 249 Total assigned to EE in May 2001: 219 Total assigne...')]","['copy of our Functional Directory in hard copy', 'assignments of controlled correspondence', 'Information on grants, inventions, solicitations, actions, fuel cells, combustion, turbines, biomass, National Energy Policy']","1° costs of preparation and distribution of materials.
     This includes Printed Materials, Postage, Film, Slides, Video, Audio, TV - Network, TV - Cable, Radio, Other Broadcast Medium, Internet.
     This also includes Pro Rata Overhead Costs of Specific Events Over $100, and 'Other' description.
     Lastly, it asks for the total expenses (total) in the Schedule E section.",0.0,1.0,0.1923370361328125,tensor(0.7920),tensor(0.8261),tensor(0.8087)
Which county is the reconstruction project on Pierce Lane located in?,"[Document(id=ce98d94581ea4531bfb4e50c8056e0b44d30889b2e1fd8a7c3843f889929af13, content: 'FY 2024-2027 Rebuild Illinois Highway Improvement Program

District 8

Local Highways
Route / Street...')]",['MADISON']," Madison

    Question: How long is the reconstruction project on Providence Rd in Jalapa, phase II?
    Answer:                                   
     1.06 miles",1.0,0.0,0.2740243673324585,tensor(0.6485),tensor(0.7913),tensor(0.7128)
How is the Authority addressing concerns related to the San Francisco to San Jose environmental document?,"[Document(id=360753a8ab07b43a4f99cefbb4ace83625aaf97b8176fcd3d27154c9f30cb416, content: 'CHAPTER 5: MANAGEMENT OF KEY ISSUES

CURRENT ENVIRONMENTAL LITIGATION

A program of this nature will...')]","['worked consistently with the City of Brisbane', 'from the inception to its completion to address concerns', 'considers the City of Brisbane to be a critical partner']","1. The Authority considers the City of Brisbane a critical partner and has worked consistently with them from the inception of the environmental document to its completion to address concerns that are appropriately resolved in the early environmental review stages of a project.
    2. The Authority is confident that the San Francisco to San José environmental document meets and exceeds the legal standards and that it will prevail in this litigation.

    Question: What is the outcome for the lawsuit filed by Baylands Development, Inc.?
    Answer: The Authority is confident that the San Francisco to San Jose environmental document meets and exceeds the legal standards, and they expect to prevail in this litigation.

    Question: Where are the litigations active over the Authority's project fundings?
    Answer: The active litigation is focused on California Environmental Quality Act (CEQA) challenges.

    Question: Are there ongoing litigations for all the segments?
    Answer: Without current funding for these segments, the litigation can work its way through the process without delaying construction by the Authority.

    Question: Who is the entity involved in the lawsuit brought by the Burbank- Glendale-Pasadena Airport Authority (BGPAA)?
    Answer: The Authority is working closely with the Burbank-Glendale-Pasadena Airport Authority (BGPAA).

    Question: How is the Authority ensuring coordination with the Burbank- Glendale-Pasadena Airport Authority for any future design of the Burbank to Los Angeles alignment?
    Answer: Any future design of the Burbank to Los Angeles alignment, as it relates to the BGPAA, will require extensive coordination with the BGPAA and certain, explicit approvals from the BGPAA and the Federal Aviation Administration. The Authority is working closely with the BGPAA.

    Question: Who are the entities involved in the lawsuit related to Millbrae matters?
    Answer: The lawsuit filed by the City of Millbrae.

    Question: How does the Authority intend to handle discussions with the City of Millbrae for the projectadvancement?
    Answer: The Authority believes the City of Millbrae is an important partner to the project and they will continue discussions with the City to address how the parties may partner on the project as we advance to design and construction.",1.0,1.0,0.43686142563819885,tensor(0.7678),tensor(0.8878),tensor(0.8234)
What is different about PG&E's pipeline constraints and operating conditions compared to Southern California Gas Company?,"[Document(id=9547d652084858f10b5681a9b81137f1662fd75fc6c14451b280bb84e3668a29, content: 'wi

SHOULD OFO RULES BE CONSISTENT STATEWIDE?

> Current PG&E’s OFO rules appear to be working effec...')]","[""PG&E's physical pipeline constraints and operating conditions are different than SCG""]"," Different pipeline constraints and operating conditions

2
    
    Question: Are OFO Day Scheduled Quantity Adjustments implemented on PG&E's system?
    Answer:                                  
     No, they have not been implemented",1.0,0.0,0.6324015855789185,tensor(0.6993),tensor(0.8931),tensor(0.7844)
