question,contexts,answer,predicted_answer,doc_mrr_evaluator,faithfulness,sas_evaluator,precision,recall,f1
"What types of road improvements are planned for Greenmount Road in Belleville, Illinois?","[Document(id=f95bc20f333ffa6abfc9a89b3ea3781531344bed1d4dcb0f0758f0239aa7bce6, content: 'FY 2024-2029 Rebuild Illinois Highway Improvement Program

District 8

State Highways
Route / Street...')]","['Additional lanes', 'Standard overlay/ADA improvements', 'Bridge replacement', 'Land acquisition', 'Utility adjustment']","1. Additional lanes on Reenmount Road from ILL161 to ILL158/177.
    2. Standard Overlay from ILL161 to ILL158/177.
    3. ADA Improvements from ILL161 to ILL158/177. (Contingent upon a jurisdictional transfer).
    4. Bridge replacement at Reenmount Road ILL161 to ILL158/177 (Contingent upon a jurisdictional transfer)
    5. Land Acquisition at Reenmount Road ILL161 to ILL158/177 (Contingent upon a jurisdictional transfer).",0.1666666666666666,0.0,0.5545323491096497,tensor(0.7676),tensor(0.8526),tensor(0.8079)
How did the average miles per shipment for single modes change from 1997 to 2007?,"[Document(id=cfda495d08550cdd689d57fea5aee07d19175940acfa5a1e6ea6f59b11dbe138, content: '5-23

Industries covered by the 2007 Commodity Flow Survey (CFS) accounted for 3.3 trillion ton-mile...')]","['For truck, it increased from 144 to 206 miles, for rail it increased from 485 to 599 miles.']","Single modes decreased by an average of 0.4% per year from 472 to 546 billions to 619 billions. That's a decrease of    0.619billions from 2,383.5 to 2,867.9 to 2,894.3 of miles per shipment per year.",1.0,0.0,0.37302014231681824,tensor(0.8183),tensor(0.8518),tensor(0.8347)
What is the total greenhouse gas reduction in metric tons projected for 2050 across all measures listed?,"[Document(id=5e3f402db9ce4879a4ef7f09e76e890f0aa4e32f77f0f365c677ed68e14e0e87, content: 'Table 2: Greenhouse gas emission reduction summary

Greenhouse gas reduction in metric tons
ncrease ...')]","['80,829']","18,332 + 44,795 + 119,063 + 10,557 + 6,510 + 21,157 + 37,750 + 21,281 + 3940 + 243 = 227,367 metric tons",1.0,0.0,0.29923582077026367,tensor(0.7527),tensor(0.7934),tensor(0.7725)
What is the importance of accurate estimation of available PV power according to the text?,"[Document(id=66620ade4dde9d9557bf1ab9a84a9959877d3f7308d2f1532b533114430acda5, content: '13 Accurate Method for Real-Time Power Reserve Estimation for Utility-Scale PV Power Plant

13.1Impo...')]","['All around the world, system operators and utilities are continually adapting their grid codes, interconnection requirements, operational practices, and market mechanisms to make the integration of shares of fast-growing variable renewable generation both reliable and economic']","An accurate estimation of available PV power is important in avoiding excessive penalty payments for utility-scale PV plants who become market participants for energy and various reliability services related to active power controls (AC Support). Additionally, the IEA SHC Task 32 expects a more compact volume of storage to empty high solar fraction, making estimating the readily available solar power more critical.",0.5,0.75,0.40630871057510376,tensor(0.8332),tensor(0.8436),tensor(0.8384)
What are some potential vulnerabilities of underground nuclear power plants?,"[Document(id=4a2898531fc133b3838e33341136891bb2e144646b4da28f12d538d6653fa52a, content: '‘The Future of Nuclear Power in the United States

February 2012

tance to assaults and accidents. A...')]","['vulnerability to extreme seismic events', 'possibility of releases from a reactor meltdown']","1. Vulnerability to extreme seismic events
    2. Remaining doubts as to how well underground sites could contain releases from a reactor meltdown
    3. Reactors are prone to leaks and pollution without proper reactor systems and equipment
    4. Possible threat of beyond-DBT attacks on reactors not taken into consideration adequately
    5. Large investments and construction time without a guarantee of problem resolution
    6. Infrastructure investments would require maintenance for probability of long-term use
    7. Over-reliance on old and inefficient technology increases risk of increased accident cases",1.0,0.0,0.7427217960357666,tensor(0.7153),tensor(0.8987),tensor(0.7966)
What are the two different closed-system mechanically reversible processes described in the example?,"[Document(id=a7dbf7cce4a6594654c40ec365cd4e9a60ee2517fb679c475bba854800c49952, content: '2.8. Heat Capacity

independent of path, and may therefore be calculated by equations for a truly co...')]","['(a) Cooling at constant pressure followed by heating at constant volume.', '(b) Heating at constant volume followed by cooling at constant pressure.']","1. Cooling at constant pressure followed by heating at constant volume.

    2. Heating at constant volume followed by cooling at constant pressure.",0.5,0.0,0.803906261920929,tensor(0.9435),tensor(0.9156),tensor(0.9294)
What information is being requested for the controlled correspondence office?,"[Document(id=9c12e00395f422c62dc56c7152e20f617a45a0220f70115067b1d7d168987d37, content: 'DION

mai)

al assigned to EE in April 2001: 249 Total assigned to EE in May 2001: 219 Total assigne...')]","['copy of our Functional Directory in hard copy', 'assignments of controlled correspondence', 'Information on grants, inventions, solicitations, actions, fuel cells, combustion, turbines, biomass, National Energy Policy']","Detailed functional directory for all programs and/or services, a precise list
     to help the controlled correspondence office accurately determine the appropriate location of information.",0.5,0.0,0.4723590016365051,tensor(0.8301),tensor(0.8330),tensor(0.8315)
Which county is the reconstruction project on Pierce Lane located in?,"[Document(id=ce98d94581ea4531bfb4e50c8056e0b44d30889b2e1fd8a7c3843f889929af13, content: 'FY 2024-2027 Rebuild Illinois Highway Improvement Program

District 8

Local Highways
Route / Street...')]",['MADISON'],Madison 4,1.0,0.0,0.6987363696098328,tensor(0.8292),tensor(0.7924),tensor(0.8104)
How is the Authority addressing concerns related to the San Francisco to San Jose environmental document?,"[Document(id=360753a8ab07b43a4f99cefbb4ace83625aaf97b8176fcd3d27154c9f30cb416, content: 'CHAPTER 5: MANAGEMENT OF KEY ISSUES

CURRENT ENVIRONMENTAL LITIGATION

A program of this nature will...')]","['worked consistently with the City of Brisbane', 'from the inception to its completion to address concerns', 'considers the City of Brisbane to be a critical partner']","The Authority is confident that the San Francisco to San Jose environmental document is legal and that it will prevail in the litigation. Beyond addressing concerns with litigation, the Authority is working closely with the city and involving them in the project planning process to partner on the project as it moves forward to design and construction.",1.0,0.0,0.2789475619792938,tensor(0.8007),tensor(0.8567),tensor(0.8277)
What is different about PG&E's pipeline constraints and operating conditions compared to Southern California Gas Company?,"[Document(id=9547d652084858f10b5681a9b81137f1662fd75fc6c14451b280bb84e3668a29, content: 'wi

SHOULD OFO RULES BE CONSISTENT STATEWIDE?

> Current PG&E’s OFO rules appear to be working effec...')]","[""PG&E's physical pipeline constraints and operating conditions are different than SCG""]",PG&E’s physical pipeline constraints and operating conditions are different than SCG.,1.0,0.0,0.9459981918334961,tensor(0.9475),tensor(0.9431),tensor(0.9453)
