question,contexts,answer,predicted_answer,doc_mrr_evaluator,faithfulness,sas_evaluator,precision,recall,f1
What is the estimated total savings for a PV system in Durham under the net metering (flat rate) billing option over the system's useful life of 25 years?,"[Document(id=2dad2590a94f3fba586ae4fb328d0c2da9aa79d01ee312f34f79500933a64c49, content: 'A Residential Customer Guide to Going Solar - RO1-010

The savings shown in Tables 2 and 3 were calc...')]","['$10,614']","10,647 dollars.",1.0,0.0,0.6156183481216431,tensor(0.8975),tensor(0.8479),tensor(0.8720)
What is the address of Ramba Consulting Group?,"[Document(id=8034be35e049617f76eea4623a97333a40f5c8255e1d1a76732f257ac9c6dd0e, content: '10/10/2019

Ramba Consulting Group LLC - Firm Detail - Lobbyist Registration

Motorola Solutions, In...')]",['120 S Monroe St Tallahassee FL 32301'],"100 College Blvd E, Niceville FL 32578-134
    ",1.0,0.0,0.5865119099617004,tensor(0.8555),tensor(0.8355),tensor(0.8454)
What is the average annual growth rate of regional load across the Western Interconnection from 2020 to 2026?,"[Document(id=a648b7309f83c351dbbd305d7495b6f442d84afc1eac9dd31bd8a5dcde477c8d, content: 'Western Interconnection BPS Dynamics

woodmac.com

Load growth will increase power generation needs ...')]",['0.6% per year'],"0.6% per year
    ",1.0,0.0,0.8650546669960022,tensor(0.9741),tensor(0.9352),tensor(0.9543)
What is different about PG&E's pipeline constraints and operating conditions compared to Southern California Gas Company?,"[Document(id=9547d652084858f10b5681a9b81137f1662fd75fc6c14451b280bb84e3668a29, content: 'wi

SHOULD OFO RULES BE CONSISTENT STATEWIDE?

> Current PG&E’s OFO rules appear to be working effec...')]","[""PG&E's physical pipeline constraints and operating conditions are different than SCG""]", PG&E's physical pipeline constraints and operating conditions are different than SCG.,1.0,0.0,0.9462229013442993,tensor(0.9558),tensor(0.9418),tensor(0.9488)
What are some companies and their locations listed on the page?,"[Document(id=521d7ee0145a40086624fe3046b0b39418418808bafb3a1d6a7783197a665196, content: '10/10/2019

The Mayernick Group LLC - Firm Detail - Lobbyist Registration
United States Sugar Corpor...')]","['United States Sugar Corporation, 111 Ponce De Leon Ave, Clewiston FL 33440', 'Walmart, 702 SW 8th St, Bentonville AR 72716', 'Wal-Mart Stores, Inc, 702 SW 8th St. MW 215, Bentonville AR 72716-6209', 'Water & Soil Solutions, LLC, 16112 E Duran Rd, Loxahatchee FL 33470-7890', 'Watershed Technologies, LLC, 3208 Westchester Dr, Cocoa FL 32926']","1. The Mayernick Group LLC - 3717 Apalachee, Eldorado Resorts Inc., Florida Alcohol & Drug Abuse Association FL for Care... (multiple locations), Diverse Computing INC..., Parkway #102 Tallahassee ... Reno NV
       ,  856 W. Pablo Ave Talhassae 3479, Eldorado Resorts Inc., Florida Alcohol & Drug Abuse Association FL for Care... (multiple locations), Diverse Computing INC..., Parkway #102 Tallahassee ... Reno NV
",0.0,0.6666666666666666,0.341124951839447,tensor(0.7814),tensor(0.7976),tensor(0.7894)
What is the average OPEC spare production capacity for the years 2014-2023?,"[Document(id=3d8816376d8f6532aee22681f3ecbf08887497510c688a5ea2daf66a14326949, content: 'Global Oil Markets

Global oil prices and inventories

The spot price of Brent crude oil averaged $9...')]",['2.8 million barrels per day'],"2.8 million barrels per day
    ",1.0,0.0,0.8816080093383789,tensor(0.9653),tensor(0.9283),tensor(0.9465)
How did the average miles per shipment for single modes change from 1997 to 2007?,"[Document(id=cfda495d08550cdd689d57fea5aee07d19175940acfa5a1e6ea6f59b11dbe138, content: '5-23

Industries covered by the 2007 Commodity Flow Survey (CFS) accounted for 3.3 trillion ton-mile...')]","['For truck, it increased from 144 to 206 miles, for rail it increased from 485 to 599 miles.']","2.0%
    ",1.0,0.0,0.12079708278179169,tensor(0.8490),tensor(0.7884),tensor(0.8176)
What are the specific topics mentioned related to the national energy policy options?,"[Document(id=a318cf875cc58461d7f29f8c648a805f3a5971b119cec2ddb0f93412f32845af, content: 'DION mail

el) Beschen/OU=EE/O=DOEG@DOE>---<Last BTS NEP Option Paper cane e ee nee nee Message body...')]","['volume purchasing', 'weatherization']","1. Public support for continued operation of nuclear power plants, 2. Less public interest in new reactors on existing sites or expansion projects due to concerns raised by Fukushima disaster and its impact (costs & environmental consequences),  3) Governmental review process initiated after the incident led mainly through Nuclear Regulatory Commission's safety assessment of U.S nuclear power plants, 4.) Public opinion swayed based on government support for clean energy initiatives including loan guarantees but also carbon-pricing framework to create incentives and encourage utilities towards building more reactors
    ",0.0,0.0,0.21984592080116272,tensor(0.7824),tensor(0.7924),tensor(0.7874)
What types of highway improvements are listed for US 150 in Champaign County?,"[Document(id=eb5c2f85448a351bd79a8ebc646c20da1d460d09e84580d1edc03bacc4a3fdf1, content: 'FY 2024-2029 Rebuild Illinois Highway Improvement Program

District 5

State Highways
Route / Street...')]","['DESIGNED OVERLAY', 'ADA IMPROVEMENTS', 'BRIDGE DECK OVERLAY', 'BRIDGE REPAIR', 'STANDARD OVERLAY', 'WIDENING EXISTING PAVEMENT', 'INTERSECTION IMPROVEMENT', 'TRAF SIGNAL MODERNIZATION', 'UTILITY ADJUSTMENT']","1. Overlay, 2 Bridge deck overly (Stream),  3 Standard bridge repair at US-74 interchange to ILL -10(Springfield Ave) ,   5 Widening existing pavement on Rospect Avenue and rehabilitation of its roadway information
    6 Traffic signal modernization, 8 Utility adjustments.",1.0,0.0,0.6493517160415649,tensor(0.7922),tensor(0.8040),tensor(0.7980)
What fuel type had the highest average hourly generation in 2019 according to the chart?,"[Document(id=8c05d858e7d1f0264b5f15968d1ebbaa8361340c2f43b30c33ada08a49566945, content: '2019 Average Hourly Generation by Fuel Type

35,000 |Nuclear Bio Geothermal “Solar Wind mHydro mNatu...')]",['Natural Gas'],"35,000 MW
    ",1.0,0.0,0.15385431051254272,tensor(0.7761),tensor(0.7914),tensor(0.7837)
