question,contexts,answer,predicted_answer,doc_mrr_evaluator,faithfulness,sas_evaluator,precision,recall,f1
"What types of road improvements are planned for Greenmount Road in Belleville, Illinois?","[Document(id=f95bc20f333ffa6abfc9a89b3ea3781531344bed1d4dcb0f0758f0239aa7bce6, content: 'FY 2024-2029 Rebuild Illinois Highway Improvement Program

District 8

State Highways
Route / Street...')]","['Additional lanes', 'Standard overlay/ADA improvements', 'Bridge replacement', 'Land acquisition', 'Utility adjustment']","Add, Standard Overlay and Rehabilitation - Pavements.",1.0,0.0,0.546263575553894,tensor(0.8594),tensor(0.8231),tensor(0.8409)
How did the average miles per shipment for single modes change from 1997 to 2007?,"[Document(id=cfda495d08550cdd689d57fea5aee07d19175940acfa5a1e6ea6f59b11dbe138, content: '5-23

Industries covered by the 2007 Commodity Flow Survey (CFS) accounted for 3.3 trillion ton-mile...')]","['For truck, it increased from 144 to 206 miles, for rail it increased from 485 to 599 miles.']",2.0%,1.0,0.0,0.12079702317714691,tensor(0.7918),tensor(0.8079),tensor(0.7998)
What is the total greenhouse gas reduction in metric tons projected for 2050 across all measures listed?,"[Document(id=5e3f402db9ce4879a4ef7f09e76e890f0aa4e32f77f0f365c677ed68e14e0e87, content: 'Table 2: Greenhouse gas emission reduction summary

Greenhouse gas reduction in metric tons
ncrease ...')]","['80,829']","37,750.",1.0,0.0,0.3825737237930298,tensor(0.7374),tensor(0.8107),tensor(0.7723)
What is the importance of accurate estimation of available PV power according to the text?,"[Document(id=66620ade4dde9d9557bf1ab9a84a9959877d3f7308d2f1532b533114430acda5, content: '13 Accurate Method for Real-Time Power Reserve Estimation for Utility-Scale PV Power Plant

13.1Impo...')]","['All around the world, system operators and utilities are continually adapting their grid codes, interconnection requirements, operational practices, and market mechanisms to make the integration of shares of fast-growing variable renewable generation both reliable and economic']","To avoid excessive penalty payments due to integration of utility-scale PV plants into the grid for active power control. 

    Next",1.0,1.0,0.5408544540405273,tensor(0.8043),tensor(0.8426),tensor(0.8230)
What are some potential vulnerabilities of underground nuclear power plants?,"[Document(id=4a2898531fc133b3838e33341136891bb2e144646b4da28f12d538d6653fa52a, content: '‘The Future of Nuclear Power in the United States

February 2012

tance to assaults and accidents. A...')]","['vulnerability to extreme seismic events', 'possibility of releases from a reactor meltdown']","high energy releases, extreme seismic events.",1.0,0.0,0.624483585357666,tensor(0.9038),tensor(0.8683),tensor(0.8857)
What are the two different closed-system mechanically reversible processes described in the example?,"[Document(id=a7dbf7cce4a6594654c40ec365cd4e9a60ee2517fb679c475bba854800c49952, content: '2.8. Heat Capacity

independent of path, and may therefore be calculated by equations for a truly co...')]","['(a) Cooling at constant pressure followed by heating at constant volume.', '(b) Heating at constant volume followed by cooling at constant pressure.']","1st: Joule/Thomson expansion; 2nd Isothermal throttling. 
    (Incorrect Answer) J-T curve is related to P-v T relationship in a closed system and can occur at various temperature as well. For the first process, ideal gas has not been considered where dP/dT would be zero for Joule/Thomson inversion curves which represents an unstable region of pressure increase with decreasing temperatures due t-o compression effects being larger than those produced by heat addition from outside during expansion.


    Correct Answer: (from above): Isothermal throttling, and 3D. G Miller states that """,0.0,0.6666666666666666,0.3714519739151001,tensor(0.7867),tensor(0.7969),tensor(0.7918)
What information is being requested for the controlled correspondence office?,"[Document(id=9c12e00395f422c62dc56c7152e20f617a45a0220f70115067b1d7d168987d37, content: 'DION

mai)

al assigned to EE in April 2001: 249 Total assigned to EE in May 2001: 219 Total assigne...')]","['copy of our Functional Directory in hard copy', 'assignments of controlled correspondence', 'Information on grants, inventions, solicitations, actions, fuel cells, combustion, turbines, biomass, National Energy Policy']",detailed functional directory for all programs and services.,1.0,0.5,0.5020833611488342,tensor(0.7812),tensor(0.8401),tensor(0.8096)
Which county is the reconstruction project on Pierce Lane located in?,"[Document(id=ce98d94581ea4531bfb4e50c8056e0b44d30889b2e1fd8a7c3843f889929af13, content: 'FY 2024-2027 Rebuild Illinois Highway Improvement Program

District 8

Local Highways
Route / Street...')]",['MADISON'],Green,1.0,0.0,0.17381955683231354,tensor(0.7807),tensor(0.7981),tensor(0.7893)
How is the Authority addressing concerns related to the San Francisco to San Jose environmental document?,"[Document(id=360753a8ab07b43a4f99cefbb4ace83625aaf97b8176fcd3d27154c9f30cb416, content: 'CHAPTER 5: MANAGEMENT OF KEY ISSUES

CURRENT ENVIRONMENTAL LITIGATION

A program of this nature will...')]","['worked consistently with the City of Brisbane', 'from the inception to its completion to address concerns', 'considers the City of Brisbane to be a critical partner']",through early environmental review stages.,1.0,0.0,0.14439073204994202,tensor(0.7826),tensor(0.8325),tensor(0.8068)
What is different about PG&E's pipeline constraints and operating conditions compared to Southern California Gas Company?,"[Document(id=9547d652084858f10b5681a9b81137f1662fd75fc6c14451b280bb84e3668a29, content: 'wi

SHOULD OFO RULES BE CONSISTENT STATEWIDE?

> Current PG&E’s OFO rules appear to be working effec...')]","[""PG&E's physical pipeline constraints and operating conditions are different than SCG""]",Physical.,1.0,0.6666666666666666,0.1106000542640686,tensor(0.7831),tensor(0.8887),tensor(0.8326)
