question,contexts,answer,predicted_answer,doc_mrr_evaluator,faithfulness,sas_evaluator,precision,recall,f1
"What types of road improvements are planned for Greenmount Road in Belleville, Illinois?","[Document(id=f95bc20f333ffa6abfc9a89b3ea3781531344bed1d4dcb0f0758f0239aa7bce6, content: 'FY 2024-2029 Rebuild Illinois Highway Improvement Program

District 8

State Highways
Route / Street...')]","['Additional lanes', 'Standard overlay/ADA improvements', 'Bridge replacement', 'Land acquisition', 'Utility adjustment']","Improvements planned for Greenmount Road in Belleville, Illinois pertain to pavement reconstruction with PEORIA RD and SMART OVERLAY (likely referring to Overlay for Preservation Improvements and Maintenance DEPARTING PEORIA RD and REHABILITATION), and DEPARTING Mixload TONS for Street or Longitudinal Joint Replacement and I-55 Bridge Joint Replacement (MISCELLANEOUS IMPROVEMENTS or structural category), and NO specific improvements such as TRAFFIC, SIGNAL, SECURITY, SAFETY, LIGHTING or LANDSCAPING mentioned.",0.0,0.0,0.5007416009902954,tensor(0.7817),tensor(0.8268),tensor(0.8036)
How did the average miles per shipment for single modes change from 1997 to 2007?,"[Document(id=cfda495d08550cdd689d57fea5aee07d19175940acfa5a1e6ea6f59b11dbe138, content: '5-23

Industries covered by the 2007 Commodity Flow Survey (CFS) accounted for 3.3 trillion ton-mile...')]","['For truck, it increased from 144 to 206 miles, for rail it increased from 485 to 599 miles.']",2.0%,1.0,0.0,0.12079700827598572,tensor(0.6754),tensor(0.8222),tensor(0.7416)
What is the total greenhouse gas reduction in metric tons projected for 2050 across all measures listed?,"[Document(id=5e3f402db9ce4879a4ef7f09e76e890f0aa4e32f77f0f365c677ed68e14e0e87, content: 'Table 2: Greenhouse gas emission reduction summary

Greenhouse gas reduction in metric tons
ncrease ...')]","['80,829']","119,063 metric tons                              \ Peter",1.0,0.0,0.31241780519485474,tensor(0.6315),tensor(0.8198),tensor(0.7134)
What is the importance of accurate estimation of available PV power according to the text?,"[Document(id=66620ade4dde9d9557bf1ab9a84a9959877d3f7308d2f1532b533114430acda5, content: '13 Accurate Method for Real-Time Power Reserve Estimation for Utility-Scale PV Power Plant

13.1Impo...')]","['All around the world, system operators and utilities are continually adapting their grid codes, interconnection requirements, operational practices, and market mechanisms to make the integration of shares of fast-growing variable renewable generation both reliable and economic']","1. Accurate estimation of available PV power is crucial for maintaining grid reliability and stability, especially with increased proportions of PV in the energy generation mix.",0.0,1.0,0.4873198866844177,tensor(0.7812),tensor(0.8490),tensor(0.8137)
What are some potential vulnerabilities of underground nuclear power plants?,"[Document(id=4a2898531fc133b3838e33341136891bb2e144646b4da28f12d538d6653fa52a, content: '‘The Future of Nuclear Power in the United States

February 2012

tance to assaults and accidents. A...')]","['vulnerability to extreme seismic events', 'possibility of releases from a reactor meltdown']","1. Vulnerability to extreme seismic events must be carefully assessed.
    2. Whether underground siting can largely contain releases from a meltdown of a reactor is less clear.",1.0,0.0,0.6771548986434937,tensor(0.8649),tensor(0.9045),tensor(0.8843)
What are the two different closed-system mechanically reversible processes described in the example?,"[Document(id=a7dbf7cce4a6594654c40ec365cd4e9a60ee2517fb679c475bba854800c49952, content: '2.8. Heat Capacity

independent of path, and may therefore be calculated by equations for a truly co...')]","['(a) Cooling at constant pressure followed by heating at constant volume.', '(b) Heating at constant volume followed by cooling at constant pressure.']","1. Expansion without work.
    2. Isothermal expansion.",0.0,0.0,0.40878695249557495,tensor(0.8566),tensor(0.7957),tensor(0.8250)
What information is being requested for the controlled correspondence office?,"[Document(id=9c12e00395f422c62dc56c7152e20f617a45a0220f70115067b1d7d168987d37, content: 'DION

mai)

al assigned to EE in April 2001: 249 Total assigned to EE in May 2001: 219 Total assigne...')]","['copy of our Functional Directory in hard copy', 'assignments of controlled correspondence', 'Information on grants, inventions, solicitations, actions, fuel cells, combustion, turbines, biomass, National Energy Policy']","1° costs of preparation and distribution of materials.
     This includes Printed Materials, Postage, Film, Slides, Video, Audio, TV - Network, TV - Cable, Radio, Other Broadcast Medium, Internet.
     This also includes Pro Rata Overhead Costs of Specific Events Over $100, and 'Other' description.
     Lastly, it asks for the total expenses (total) in the Schedule E section.",0.0,1.0,0.1923370510339737,tensor(0.7920),tensor(0.8261),tensor(0.8087)
Which county is the reconstruction project on Pierce Lane located in?,"[Document(id=ce98d94581ea4531bfb4e50c8056e0b44d30889b2e1fd8a7c3843f889929af13, content: 'FY 2024-2027 Rebuild Illinois Highway Improvement Program

District 8

Local Highways
Route / Street...')]",['MADISON'],Madison,1.0,0.0,0.8137738108634949,tensor(0.6485),tensor(0.7913),tensor(0.7128)
How is the Authority addressing concerns related to the San Francisco to San Jose environmental document?,"[Document(id=360753a8ab07b43a4f99cefbb4ace83625aaf97b8176fcd3d27154c9f30cb416, content: 'CHAPTER 5: MANAGEMENT OF KEY ISSUES

CURRENT ENVIRONMENTAL LITIGATION

A program of this nature will...')]","['worked consistently with the City of Brisbane', 'from the inception to its completion to address concerns', 'considers the City of Brisbane to be a critical partner']","1. The Authority considers the City of Brisbane a critical partner and has worked consistently with them from the inception of the environmental document to its completion to address concerns that are appropriately resolved in the early environmental review stages of a project.
    2. The Authority is confident that the San Francisco to San José environmental document meets and exceeds the legal standards and that it will prevail in this litigation.",1.0,1.0,0.5781757831573486,tensor(0.7678),tensor(0.8878),tensor(0.8234)
What is different about PG&E's pipeline constraints and operating conditions compared to Southern California Gas Company?,"[Document(id=9547d652084858f10b5681a9b81137f1662fd75fc6c14451b280bb84e3668a29, content: 'wi

SHOULD OFO RULES BE CONSISTENT STATEWIDE?

> Current PG&E’s OFO rules appear to be working effec...')]","[""PG&E's physical pipeline constraints and operating conditions are different than SCG""]","Different pipeline constraints and operating conditions

2",1.0,0.0,0.6680856943130493,tensor(0.6993),tensor(0.8931),tensor(0.7844)
What is the expected revenue for the power production company in the given quarter?,"[Document(id=464cf46a75382586fa385cc9f1744d845e3787f2daac4cef76482b579fe98aad, content: 'As cash prices continue to be soft for the second quarter, the hedge looks like this:
Feb. 1 Mar. 27...')]","['$518,880']","518,880$",1.0,0.0,0.7491912841796875,tensor(0.6585),tensor(0.8546),tensor(0.7438)
At what temperature and pressure conditions is the reaction vessel maintained?,"[Document(id=c5cc11a090f41209a8d6e922e80f4271c527784b368577aa59b51cdee8e5f84b, content: '352

CHAPTER 14. Chemical-Reaction Equilibria

in which case the AG® value is for mixed standard sta...')]",['200°C and 34.5 bar'],Temperature and pressure conditions for the reaction vessel are not specified in the context.,0.0,1.0,0.32458585500717163,tensor(0.8308),tensor(0.8053),tensor(0.8179)
What caused the price of wholesale electricity to significantly increase in 2017 and 2018 at SoCal Citygate?,"[Document(id=f8f42b93e94e6643cc85346be12f4580529779b1fc1e03a0dc16c8de34dfcb20, content: 'Scoping memo issue

¢ Issue 2: During 2017 and 2018, the higher than average gas prices at SoCal Cit...')]",['the higher than average gas prices'],"- Higher than average gas prices at SoCal Citygate
     - Unspecified potential gas supply issues (implication left unclear, yet could include pipeline constrains, bottlenecks, unexpected equipment failure etc.)
     The goal is for the commission to set terms and conditions or formulate new rules that might decrease the risk of electricity price fluctuation due to future gas supply issues at SoCal Citygate. The considered terms, conditions, or new rules could include implementing consistent pricing mechanisms, balancing out volatile gas usage across different footprints, seeking out new mechanisms to balance possible upcoming gas supply volatility, among others, as seen in the context.",1.0,1.0,0.5213538408279419,tensor(0.7872),tensor(0.8643),tensor(0.8239)
