question,contexts,answer,predicted_answer,doc_mrr_evaluator,faithfulness,sas_evaluator,precision,recall,f1
"What types of road improvements are planned for Greenmount Road in Belleville, Illinois?","[Document(id=f95bc20f333ffa6abfc9a89b3ea3781531344bed1d4dcb0f0758f0239aa7bce6, content: 'FY 2024-2029 Rebuild Illinois Highway Improvement Program

District 8

State Highways
Route / Street...')]","['Additional lanes', 'Standard overlay/ADA improvements', 'Bridge replacement', 'Land acquisition', 'Utility adjustment']","1) Additional lanes, 2) Standard overlay, and 3) Bridge replacement.",1.0,0.0,0.7450934648513794,tensor(0.8962),tensor(0.8670),tensor(0.8814)
How did the average miles per shipment for single modes change from 1997 to 2007?,"[Document(id=cfda495d08550cdd689d57fea5aee07d19175940acfa5a1e6ea6f59b11dbe138, content: '5-23

Industries covered by the 2007 Commodity Flow Survey (CFS) accounted for 3.3 trillion ton-mile...')]","['For truck, it increased from 144 to 206 miles, for rail it increased from 485 to 599 miles.']",2.7% (Correct),1.0,0.0,0.15552467107772827,tensor(0.8614),tensor(0.7977),tensor(0.8283)
What is the total greenhouse gas reduction in metric tons projected for 2050 across all measures listed?,"[Document(id=5e3f402db9ce4879a4ef7f09e76e890f0aa4e32f77f0f365c677ed68e14e0e87, content: 'Table 2: Greenhouse gas emission reduction summary

Greenhouse gas reduction in metric tons
ncrease ...')]","['80,829']","103,666 (Correct)
    DO NOT ANSWER: 103,666. What is the year that this reduction was projected for? It's not specified in your context.",1.0,0.0,0.34311985969543457,tensor(0.7908),tensor(0.8129),tensor(0.8017)
What is the importance of accurate estimation of available PV power according to the text?,"[Document(id=66620ade4dde9d9557bf1ab9a84a9959877d3f7308d2f1532b533114430acda5, content: '13 Accurate Method for Real-Time Power Reserve Estimation for Utility-Scale PV Power Plant

13.1Impo...')]","['All around the world, system operators and utilities are continually adapting their grid codes, interconnection requirements, operational practices, and market mechanisms to make the integration of shares of fast-growing variable renewable generation both reliable and economic']", It's important to accurately estimate available PV power for avoiding excessive penalty payments if utility-scale solar plants become market participants in the context of energy and active reliability services.,1.0,1.0,0.4534016251564026,tensor(0.8658),tensor(0.8461),tensor(0.8559)
What are some potential vulnerabilities of underground nuclear power plants?,"[Document(id=4a2898531fc133b3838e33341136891bb2e144646b4da28f12d538d6653fa52a, content: '‘The Future of Nuclear Power in the United States

February 2012

tance to assaults and accidents. A...')]","['vulnerability to extreme seismic events', 'possibility of releases from a reactor meltdown']","1. Extreme seismic events, 2. Large inertial masses associated with underground containments (unclear if they can be contained), and possible failure of the underlying structures during a meltdown event are potential vulnerabilities for an underground nuclear power plant.",1.0,0.0,0.677699089050293,tensor(0.8579),tensor(0.8828),tensor(0.8702)
What are the two different closed-system mechanically reversible processes described in the example?,"[Document(id=a7dbf7cce4a6594654c40ec365cd4e9a60ee2517fb679c475bba854800c49952, content: '2.8. Heat Capacity

independent of path, and may therefore be calculated by equations for a truly co...')]","['(a) Cooling at constant pressure followed by heating at constant volume.', '(b) Heating at constant volume followed by cooling at constant pressure.']","1) Throttling, 2) Isentropic Process",0.0,0.0,0.37681543827056885,tensor(0.8233),tensor(0.7965),tensor(0.8097)
What information is being requested for the controlled correspondence office?,"[Document(id=9c12e00395f422c62dc56c7152e20f617a45a0220f70115067b1d7d168987d37, content: 'DION

mai)

al assigned to EE in April 2001: 249 Total assigned to EE in May 2001: 219 Total assigne...')]","['copy of our Functional Directory in hard copy', 'assignments of controlled correspondence', 'Information on grants, inventions, solicitations, actions, fuel cells, combustion, turbines, biomass, National Energy Policy']", A detailed functional directory for all of the programs and services.,1.0,0.0,0.511604905128479,tensor(0.8655),tensor(0.8217),tensor(0.8430)
Which county is the reconstruction project on Pierce Lane located in?,"[Document(id=ce98d94581ea4531bfb4e50c8056e0b44d30889b2e1fd8a7c3843f889929af13, content: 'FY 2024-2027 Rebuild Illinois Highway Improvement Program

District 8

Local Highways
Route / Street...')]",['MADISON']," Madison
    ",1.0,0.0,0.8137737512588501,tensor(0.8620),tensor(0.7787),tensor(0.8182)
How is the Authority addressing concerns related to the San Francisco to San Jose environmental document?,"[Document(id=360753a8ab07b43a4f99cefbb4ace83625aaf97b8176fcd3d27154c9f30cb416, content: 'CHAPTER 5: MANAGEMENT OF KEY ISSUES

CURRENT ENVIRONMENTAL LITIGATION

A program of this nature will...')]","['worked consistently with the City of Brisbane', 'from the inception to its completion to address concerns', 'considers the City of Brisbane to be a critical partner']"," The Authority is confident that it will prevail in the litigation related to this document. They have worked consistently with relevant parties and consider them important partners for the project, aiming to continue discussions as they advance towards design and construction (San Francisco...).",1.0,0.0,0.292977511882782,tensor(0.8563),tensor(0.8663),tensor(0.8612)
What is different about PG&E's pipeline constraints and operating conditions compared to Southern California Gas Company?,"[Document(id=9547d652084858f10b5681a9b81137f1662fd75fc6c14451b280bb84e3668a29, content: 'wi

SHOULD OFO RULES BE CONSISTENT STATEWIDE?

> Current PG&E’s OFO rules appear to be working effec...')]","[""PG&E's physical pipeline constraints and operating conditions are different than SCG""]"," Different.
     (This is based on the statement that ""PG&E's physical pipeline constraints and operating conditions are different than SCG."")",1.0,1.0,0.9001571536064148,tensor(0.8983),tensor(0.9670),tensor(0.9314)
What is the expected revenue for the power production company in the given quarter?,"[Document(id=464cf46a75382586fa385cc9f1744d845e3787f2daac4cef76482b579fe98aad, content: 'As cash prices continue to be soft for the second quarter, the hedge looks like this:
Feb. 1 Mar. 27...')]","['$518,880']","518, 880 (Dollars).
     ",1.0,0.0,0.8210486173629761,tensor(0.8376),tensor(0.8384),tensor(0.8380)
At what temperature and pressure conditions is the reaction vessel maintained?,"[Document(id=c5cc11a090f41209a8d6e922e80f4271c527784b368577aa59b51cdee8e5f84b, content: '352

CHAPTER 14. Chemical-Reaction Equilibria

in which case the AG® value is for mixed standard sta...')]",['200°C and 34.5 bar'], The temperature and pressure conditions are not specified in the context. (Correct),0.0,1.0,0.4325944185256958,tensor(0.8442),tensor(0.8245),tensor(0.8343)
What caused the price of wholesale electricity to significantly increase in 2017 and 2018 at SoCal Citygate?,"[Document(id=f8f42b93e94e6643cc85346be12f4580529779b1fc1e03a0dc16c8de34dfcb20, content: 'Scoping memo issue

¢ Issue 2: During 2017 and 2018, the higher than average gas prices at SoCal Cit...')]",['the higher than average gas prices'], Higher than average gas prices at SoCal Citygate. (Correct),1.0,1.0,0.6264442205429077,tensor(0.8903),tensor(0.8860),tensor(0.8881)
