question,contexts,answer,predicted_answer,doc_mrr_evaluator,faithfulness,sas_evaluator,precision,recall,f1
What is the estimated total savings for a PV system in Durham under the net metering (flat rate) billing option over the system's useful life of 25 years?,"[Document(id=2dad2590a94f3fba586ae4fb328d0c2da9aa79d01ee312f34f79500933a64c49, content: 'A Residential Customer Guide to Going Solar - RO1-010

The savings shown in Tables 2 and 3 were calc...')]","['$10,614']"," $30,281.57
    ------------------------ 64-bit LSTM model for sequence classification task (tax efficiency)  --------------- # Initialize the encoder and decorder layers lstm_enc = Sequential()    keras.layers .Bidirectional(KerasLTSMLayer, return sequences=False))(x1)]
lstm2 50-D output layer hidden unit x3: fc6)   dence rate is equal to the number of input data points (input shape). We initialize lstmm with these arguments and print out a short",0.0,0.0,0.12886640429496765,tensor(0.7481),tensor(0.8346),tensor(0.7890)
What is the address of Ramba Consulting Group?,"[Document(id=8034be35e049617f76eea4623a97333a40f5c8255e1d1a76732f257ac9c6dd0e, content: '10/10/2019

Ramba Consulting Group LLC - Firm Detail - Lobbyist Registration

Motorola Solutions, In...')]",['120 S Monroe St Tallahassee FL 32301'],"7601 W 8th Street Los Angeles California, USA.
    ---------------------------",0.0,0.0,0.375272274017334,tensor(0.8072),tensor(0.8277),tensor(0.8173)
What is the average annual growth rate of regional load across the Western Interconnection from 2020 to 2026?,"[Document(id=a648b7309f83c351dbbd305d7495b6f442d84afc1eac9dd31bd8a5dcde477c8d, content: 'Western Interconnection BPS Dynamics

woodmac.com

Load growth will increase power generation needs ...')]",['0.6% per year'],"0.6% per year across the entire footprint
    3,825 chars",1.0,0.0,0.6264113187789917,tensor(0.8511),tensor(0.9166),tensor(0.8827)
What is different about PG&E's pipeline constraints and operating conditions compared to Southern California Gas Company?,"[Document(id=9547d652084858f10b5681a9b81137f1662fd75fc6c14451b280bb84e3668a29, content: 'wi

SHOULD OFO RULES BE CONSISTENT STATEWIDE?

> Current PG&E’s OFO rules appear to be working effec...')]","[""PG&E's physical pipeline constraints and operating conditions are different than SCG""]","
        Southern California Gas Company is a utility with high concentration in natural gas production, transport and distribution. On the other hand PG&E operates pipeline assets owned by another party - Trans-West Express (TWE). TWE has capacity allocation constraints as well because there are 7 pipelines that feed its main trunkline from four states which include Alaska; California: Utah : Idaho and Wyoming",0.0,0.6,0.5750477313995361,tensor(0.8204),tensor(0.8630),tensor(0.8411)
What are some companies and their locations listed on the page?,"[Document(id=521d7ee0145a40086624fe3046b0b39418418808bafb3a1d6a7783197a665196, content: '10/10/2019

The Mayernick Group LLC - Firm Detail - Lobbyist Registration
United States Sugar Corpor...')]","['United States Sugar Corporation, 111 Ponce De Leon Ave, Clewiston FL 33440', 'Walmart, 702 SW 8th St, Bentonville AR 72716', 'Wal-Mart Stores, Inc, 702 SW 8th St. MW 215, Bentonville AR 72716-6209', 'Water & Soil Solutions, LLC, 16112 E Duran Rd, Loxahatchee FL 33470-7890', 'Watershed Technologies, LLC, 3208 Westchester Dr, Cocoa FL 32926']","129 Wet Feedstocks Converted via High Temperature and Upgrading | Wet 
    ",0.0,0.0,0.2080373764038086,tensor(0.8109),tensor(0.7132),tensor(0.7589)
What is the average OPEC spare production capacity for the years 2014-2023?,"[Document(id=3d8816376d8f6532aee22681f3ecbf08887497510c688a5ea2daf66a14326949, content: 'Global Oil Markets

Global oil prices and inventories

The spot price of Brent crude oil averaged $9...')]",['2.8 million barrels per day'],"25%
    ",0.0,0.0,0.23652830719947815,tensor(0.8484),tensor(0.8194),tensor(0.8337)
How did the average miles per shipment for single modes change from 1997 to 2007?,"[Document(id=cfda495d08550cdd689d57fea5aee07d19175940acfa5a1e6ea6f59b11dbe138, content: '5-23

Industries covered by the 2007 Commodity Flow Survey (CFS) accounted for 3.3 trillion ton-mile...')]","['For truck, it increased from 144 to 206 miles, for rail it increased from 485 to 599 miles.']","7.9 miles
    ",0.0,0.0,0.4849831759929657,tensor(0.8766),tensor(0.7983),tensor(0.8356)
What are the specific topics mentioned related to the national energy policy options?,"[Document(id=a318cf875cc58461d7f29f8c648a805f3a5971b119cec2ddb0f93412f32845af, content: 'DION mail

el) Beschen/OU=EE/O=DOEG@DOE>---<Last BTS NEP Option Paper cane e ee nee nee Message body...')]","['volume purchasing', 'weatherization']","5 topics.
    - Energy sources; 
    - Feasible national electricity generating options and electric power system expansion alternatives for the period, etc.;  	- Role of nuclear plants in future mixes. (The answer should be short.)",0.0,0.0,0.2998414635658264,tensor(0.7831),tensor(0.7999),tensor(0.7914)
What types of highway improvements are listed for US 150 in Champaign County?,"[Document(id=eb5c2f85448a351bd79a8ebc646c20da1d460d09e84580d1edc03bacc4a3fdf1, content: 'FY 2024-2029 Rebuild Illinois Highway Improvement Program

District 5

State Highways
Route / Street...')]","['DESIGNED OVERLAY', 'ADA IMPROVEMENTS', 'BRIDGE DECK OVERLAY', 'BRIDGE REPAIR', 'STANDARD OVERLAY', 'WIDENING EXISTING PAVEMENT', 'INTERSECTION IMPROVEMENT', 'TRAF SIGNAL MODERNIZATION', 'UTILITY ADJUSTMENT']","35
    - US 19, Route-48 to IA Highway–Iowa state highway that connects Illinois cities Ottumwa and Burlington with the Quad Cities. It travels through a number of small communities on its way across eastern Iowa including Bloomfield; Keswick and Wapello (its midpoint); Middletown, New Boston in Appanoose County to Van Buren Countys Keosauqua which is located at the intersection with Interstate 35. It joins that highway again northwest of Des Moines before it ends near Fort Dodge just south",0.0,0.0,0.16119229793548584,tensor(0.7346),tensor(0.7457),tensor(0.7401)
What fuel type had the highest average hourly generation in 2019 according to the chart?,"[Document(id=8c05d858e7d1f0264b5f15968d1ebbaa8361340c2f43b30c33ada08a49566945, content: '2019 Average Hourly Generation by Fuel Type

35,000 |Nuclear Bio Geothermal “Solar Wind mHydro mNatu...')]",['Natural Gas'],"
        ______________________. 612,473 kWh.",0.0,0.0,0.22012335062026978,tensor(0.8223),tensor(0.8163),tensor(0.8193)
What are the potential impacts of high geothermal fluid production rates compared to recharge rates?,"[Document(id=7ccb9ed8ff80e99db3740a6f0ddb6f96ad979a0248d0bff7be3a8847edda9b61, content: 'Chapter 8 Environmental Impacts, Attributes, and Feasibility Criteria

between 30-35 times the surfa...')]","['formation may experience consolidation', 'lowering of the surface elevation', 'surface subsidence']"," The higher the recharge rates are in proportion to withdrawal rate, or production volumes over a given time period,
    impacts will be less.  Potential risks include:",0.0,0.5,0.1505187600851059,tensor(0.8009),tensor(0.8215),tensor(0.8111)
